"%s is not correct comparsion method.","%s is not correct comparsion method."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart."
"Allow Qty Below 0 and Notify Customer","Tillåt antal under 0 och meddela kund"
"Allow Qty Below 0","Tillåt antal under 0"
"Backorders","Restnoterade beställningar"
"By Fixed value","Utifrån fixerat värde"
"By Percentage","Utifrån procent"
"Can not specify product identifier for order item","Kan inte ange produktidentifierare för artikel"
"Catalog Inventory","Catalog Inventory"
"Decrease Stock When Order is Placed","Minska lagersaldo när beställning har lagts"
"In Stock","In Stock"
"Inventory API","Inventory API"
"Inventory Section","Inventory Section"
"Inventory","Inventering"
"Manage Stock","Manage Stock"
"Maximum Qty Allowed in Shopping Cart","Högst antal artiklar tillåtna i varukorg"
"Minimum Qty Allowed in Shopping Cart","Lägst antal artiklar tillåtna i varukorg"
"No Backorders","Inga restnoterade beställningar"
"Notify for Quantity Below","Meddela när lagersaldo är under"
"Out of Stock","Out of Stock"
"Product Stock Options","Product Stock Options"
"Qty for Items' Status to become Out of Stock","Qty for Items' Status to become Out of Stock"
"Retrieve stock data by product ids","Retrieve stock data by product ids"
"Retrieve stock data","Retrieve stock data"
"Rule price","Prisregel"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Some of the products are currently out of stock","Some of the products are currently out of stock"
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Stock Options","Lageralternativ"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","The maximum quantity allowed for purchase is %s."
"The minimum quantity allowed for purchase is %s.","The minimum quantity allowed for purchase is %s."
"The requested quantity for ""%s"" is not available.","Begärt antal av ""%s"" finns inte i lager."
"The requested quantity is not available.","Antalet du har begärt är mer än vad som finns i lager."
"This product is currently out of stock.","This product is currently out of stock."
"To Fixed Value","Till fixerat värde"
"To Percentage","Till procent"
"Update product stock data","Update product stock data"
"Update the Product","Uppdatera produkten"
"Update","Update"
"Only %s left","%s st kvar"
"Special Price",""
