"%s and greater","%s och större"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Advanced Search","Avancerad sökning"
"All","Alla"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","Autogenererad webbkarta"
"Catalog Advanced Search","Avancerad katalogsökning"
"Catalog Search","Catalog Search"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Go to Home Page","Gå till hemsida"
"Go","Go"
"Grid","Rutnät"
"Home","Hem"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"List","Lista"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query  length is %s. Your query was cut.","Maximum Search query  length is %s. Your query was cut."
"Minimal Query Length","Minimal Query Length"
"Modify your search","Ändra din sökning"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"No","No"
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","Populära söktermer"
"Popular search terms","Populära söktermer"
"Relevance","Relevance"
"Required Fields","Obligatoriska fält"
"Results","Resultat"
"Search Settings","Sökinställningar"
"Search Site","Sök på webbplatsen"
"Search Terms","Populära sökord"
"Search Type","Search Type"
"Search entire store here...","Sök i hela butiken..."
"Search results for '%s'","Sökresultat för '%s'"
"Search results for: '%s'","Sökresultat för: '%s'"
"Search","Sök"
"Subscribe to Feed","Subscribe to Feed"
"There are no search terms available.","Det finns inga söktermer tillgängliga."
"Yes","Yes"
"You have to specify at least one search term","Du måste ange minst en sökterm"
"Your search returns no results.","Inga resultat hittades för din sökning."
"up to %s","upp till %s"
