"ALL","ALLA"
"ANY","NÅGOT"
"Add","Lägg till"
"Apply","Använd"
"Description: %s","Beskrivning: %s"
"Expire at: %s","Utgå den: %s"
"FALSE","FALSKT"
"If %s of these conditions are %s:","Om %s av dessa villkor är %s:"
"Invalid discount amount.","Invalid discount amount."
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Name: %s","Namn: %s"
"Open Chooser","Öppna väljare"
"Perform following actions","Utför följande åtgärder"
"Please choose a condition to add...","Vänligen välj ett villkor att lägga till..."
"Please choose an action to add...","Vänligen välj en åtgärd att lägga till..."
"Remove","Ta bort"
"Start at: %s","Börja vid: %s"
"TRUE","SANT"
"by","av"
"contains","contains"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"is not one of","is not one of"
"is not","är inte"
"is one of","is one of"
"is","är"
"less than","less than"
"to","till"
